"buy" 					"Satin Alma Menüsü"
"buyammo1"   			"Ana Silaha Mermi Al (Opsiyonel)"
"buyammo2" 				"Yedek Silaha mermi (Opsiyonel)"
"buyequip"				"Ekipman Menüsü (Opsiyonel)"
"chooseteam" 			"Takim Seç"
"radio1"				"Standart Telsiz Mesajlari"
"radio2"				"Grup Telsiz Mesajlari"
"radio3"				"Rapor Telsiz Mesajlari"
"nightvision"			"Gecegörüsü Ac/Kapat"
"+attack"				"Ates"
"+attack2"				"Silah Özel Fonksiyonu"
"+reload"				"Silah Doldurma (Reload)"
"drop"	 				"Elindeki silahi birakma"
"invprev"				"Bir onceki silah (Opsiyonel)"
"invnext"				"Bir sonraki silah (Opsiyonel)"
"lastinv"				"Son kullanilan silah (Opsiyonel)"
"+use"					"KULLAN (butonlar, rehineler, ...)"
"impulse 100"			"El Feneri"
"impulse 201"			"Logo Basma"
"+forward"				"ileri gitme"
"+back"					"Geri gitme"
"+left"					"Sola donme"
"+right"				"Saga donme"
"+moveleft"				"Sola Kay (strafe)"
"+moveright"			"Saga Kay (strafe)"
"+speed"            	"Yürüme"
"+jump"					"Ziplama"
"+duck"					"Egilme"
"+moveup"				"Yukari dogru yüzme"
"+movedown"				"Asagiya dogru yüzme"
"+lookup"				"Yukari Bakma"
"+lookdown"				"Asagiya Bakma"
"centerview"			"Görüntüyü resetle"
"+strafe"				"Strafe tanimlamasi"
"+mlook"				"Mouse Bakisi"
"+klook"				"Klavye Bakisi"
"slot10"				"Menü Seçenegi 0"
"slot1"					"Menü Seçenegi 1"
"slot2"					"Menü Seçenegi 2"
"slot3" 				"Menü Seçenegi 3"
"slot4"					"Menü Seçenegi 4"
"slot5"					"Menü Seçenegi 5"
"slot6"					"Menü Seçenegi 6"
"slot7"					"Menü Seçenegi 7"
"slot8"					"Menü Seçenegi 8"
"slot9"					"Menü Seçenegi 9"
"+showscores"			"Multiplayer Skorlari Gösterme"
"showbriefing"			"Görev Özeti (Opsiyonel)"
"messagemode"			"Genel mesaj"
"messagemode2"			"Sadece takima mesaj"
"snapshot"				"Ekran Görüntüsü Alma"
"save quick"			"Hizli kayit"
"load quick"			"Hizli yükleme"
"quit"					"Oyundan Çikis"
